烂,B-SEN
的,O
说,O
了,O
，,O
1,O
3,O
9,O
，,O
也,O
罢,O
,
是,O
京,O
东,O
的,O
粉,O
丝,O
，,O
自,O
从,O
有,O
了,O
京,O
东,O
，,O
再,O
也,O
不,O
用,O
去,O
花,O
时,O
间,O
去,O
实,O
体,O
店,O
了,O
，,O
空,B-ASP
调,I-ASP
是,O
给,O
儿,O
子,O
房,O
间,O
装,O
的,O
，,O
空,B-ASP
调,I-ASP
样,B-ASP
子,I-ASP
很,O
漂,B-SEN
亮,I-SEN
，,O
第,O
一,O
次,O
买,O
奥,O
克,O
斯,O
，,O
儿,O
子,O
昨,O
晚,O
用,O
了,O
很,O
舒,B-SEN
服,I-SEN
，,O
安,B-ASP
装,I-ASP
师,I-ASP
傅,I-ASP
人,O
非,O
常,O
得,O
好,B-SEN
，,O
房,O
间,O
本,O
来,O
有,O
一,O
台,O
旧,O
空,B-ASP
调,I-ASP
要,O
把,O
它,O
拆,O
了,O
才,O
能,O
装,O
，,O
所,O
以,O
很,O
费,B-SEN
时,I-SEN
间,I-SEN
，,O
安,B-ASP
装,I-ASP
师,I-ASP
傅,I-ASP
爬,O
到,O
窗,O
户,O
外,O
面,O
，,O
虽,O
然,O
我,O
家,O
是,O
2,O
楼,O
只,O
有,O
2,O
米,O
多,O
高,B-SEN
，,O
但,O
拆,O
装,O
确,O
实,O
是,O
件,O
不,B-SEN
容,I-SEN
易,I-SEN
的,O
事,O
，,O
给,O
安,B-ASP
装,I-ASP
师,I-ASP
傅,I-ASP
一,O
个,O
赞,B-SEN
，,O
好,B-SEN
,
线,B-ASP
太,B-SEN
短,I-SEN
了,O
，,O
用,O
了,O
几,O
天,O
就,O
坏,B-SEN
了,O
，,O
差,B-SEN
评,I-SEN
！,O
,
虽,O
然,O
有,B-SEN
心,I-SEN
里,O
准,O
备,O
，,O
但,O
还,O
是,O
觉,O
得,O
太,O
小,O
了,O
。,O
用,O
完,O
之,O
后,O
再,O
来,O
补,O
评,O
。,O
,
挺,B-SEN
好,I-SEN
的,O
，,O
空,O
间,O
也,O
大,O
，,O
送,B-ASP
货,I-ASP
师,I-ASP
傅,I-ASP
人,O
也,O
很,B-SEN
好,I-SEN
,
电,O
脑,O
收,O
到,O
，,O
很,O
是,O
喜,B-SEN
欢,I-SEN
，,O
以,O
后,O
玩,O
什,O
么,O
游,O
戏,O
不,O
用,O
担,O
心,O
卡,O
。,O
还,O
送,O
了,O
个,O
风,O
扇,O
，,O
感,O
谢,O
！,O
有,O
点,O
问,O
题,O
小,O
慧,O
美,O
女,O
都,O
是,O
解,B-ASP
释,I-ASP
周,B-SEN
到,I-SEN
、,O
服,O
务,O
到,O
位,O
。,O
大,O
赞,B-SEN
,
粗,B-SEN
糙,I-SEN
的,O
很,O
，,O
效,B-ASP
果,I-ASP
一,B-SEN
般,I-SEN
般,I-SEN
,
很,O
满,B-SEN
意,I-SEN
，,O
送,B-ASP
货,I-ASP
的,O
当,O
天,O
就,O
上,O
门,O
给,O
安,O
装,O
了,O
，,O
送,B-ASP
货,I-ASP
很,O
及,B-SEN
时,I-SEN
。,O
京,B-ASP
东,I-ASP
是,O
值,B-SEN
得,I-SEN
信,B-SEN
赖,I-SEN
的,O
购,B-ASP
物,I-ASP
渠,O
道,O
，,O
,
没,O
有,O
卖,B-ASP
家,I-ASP
说,O
的,O
那,O
样,O
好,B-SEN
，,O
骗,O
子,O
，,O
没,O
有,O
出,O
厂,O
合,O
格,O
证,O
，,O
脱,O
水,O
出,O
小,O
